iter	RMSE
0	23.19432895
1	22.18520611
2	21.2503638633	20.3643315244	19.5190716255	18.72124006	6	17.95228897	7	17.23029178	8	16.52094059	9	15.86499671010	15.24043711111	14.67321981212	14.10927311313	13.59816231414	13.08289791515	12.6419732116	12.15974614117	11.75818241818	11.31216481919	10.90573802020	10.53566102121	10.20315022222	9.916352622323	9.589612022424	9.268291022525	8.952754222626	8.703829822727	8.40619062228	8.181105222229	7.915286923330	7.72009688331	7.55442743
32	7.373284206
33	7.163274199
34	6.958076636
35	6.793050774
36	6.681089608
37	6.524517579
38	6.357474429
39	6.217995514
40	6.052156754
41	5.918092243
42	5.801485884
43	5.714980001
44	5.606005584445	5.521329931446	5.454589256447	5.404723549448	5.343109502449	5.279758425050	5.189107875151	5.085769395552	4.97380018553	4.896829104554	4.804547045555	4.756730025556	4.710184189557	4.673781053558	4.646475415559	4.595542662660	4.576195139661	4.5463495
62	4.457557675
63	4.406706485
64	4.37760643
65	4.317178413
66	4.256880827
67	4.201196357
68	4.178927063
69	4.147714978
70	4.127508921
71	4.077585457
72	4.034029798
73	4.01607731
74	3.980901529
75	3.97231697
76	3.938817594
77	3.923927899
78	3.896257808
79	3.858367502
80	3.843711116
81	3.815600968
82	3.782470377
83	3.768154137
84	3.743169716
85	3.717512402
86	3.686412445
87	3.667733556
88	3.650315413
89	3.644047903
90	3.596261871
91	3.565834178
92	3.553348246
93	3.525538735
94	3.501341609
95	3.482788828
96	3.463350114
97	3.450868008
98	3.442249062
99	3.435181726
7
